PHD,MSONSITE,MSONLINE,GRADCERT,NUMBER,TITLE,CREDITS,PREREQ,DESCRIPTION
YES,YES,YES,YES,HCI 575,Computational Perception,3,Graduate standing or permission of instructor,"This class covers statistical and algorithmic methods for sensing, recognizing, and interpreting the activities of people by a computer. This semester we will focus on machine perception techniques that facilitate and augment human-computer interaction. The main goal of the class is to introduce computational perception on both theoretical and practical levels. Participation in small groups to design, implement, and evaluate a prototype of a human-computer interaction system that uses one or more of the techniques covered in the lectures."
ALT575,ALT575,ALT575,ALT575,CprE/ME 557,Computer Graphics and Geometric Modeling,3,"M E 421, programming experience in C","Fundamentals of computer graphics technology. Data structures. Parametric curve and surface modeling. Solid model representations. Applications in engineering design, analysis, and manufacturing."
ALT575,ALT575,ALT575,ALT575,HCI 574X,Computational Implementation and Prototyping ,3,N/A,"Fundamental concepts of software programming and the practical use of the Python programming language. Assignments include user interaction and interface design, information visualization, as well as other computational HCI tools. Intended for graduate students without prior background in software development. Requires programming during class lectures."
ALT575,ALT575,ALT575,ALT575,HCI 573X,User Interface Implementation for Web Application,3,N/A,"Development of web-based interfaces for web applications. User-centered design of interaction patterns. Dynamic queries using user feedback. Usability within complex web applications. Making appropriate choices in system security and user management. Students will learn to use PHP, MySQL, and Javascript as the implementation tools for assignments."
ELECTIVE,ELECTIVE,N/A,N/A,ArtIS 508,Computer Aided Visualization,3,ARTIS 408 or graduate classification and permission of instructor,Further investigations begun in ARTIS 408. Attention given to the workflow and management of creating animation and visualizations.
ELECTIVE,ELECTIVE,ELECTIVE,,HCI 520,Computational Analysis of English,3,"ENGL 510 or LING 510, and ENGL 511 or LING 511",Concepts and practices for analysis of English by computer with emphasis on the applications of computational analysis to problems in applied linguistics such as corpus analysis and recognition of learner language in computer-assisted learning and language assessment.
ELECTIVE,ELECTIVE,ELECTIVE,N/A,HCI 558,Introducation to the 3D Visualization of Scientific Data,3,Graduate-student standing in the mathematical or natural sciences,"Introduction to visualizing scientific information with 3D computer graphics and their foundation in human perception. Overview of different visualization techniques and examples of 3D visualization projects from different disciplines (natural sciences, medicine, engineering). Class project in interactive 3D visualization using the OpenDX, VTK or a similar system."
ELECTIVE,ELECTIVE,ELECTIVE,N/A,HCI 580X,Virtual Worlds and Applications,3,Senior or Graduate status.,"A systematic introduction to the underpinnings of Virtual Environments (VE), Virtual Worlds, advanced displays and immersive technologies; and an overview of some of the applications areas particularly virtual engineering."
ELECTIVE,ELECTIVE,ELECTIVE,N/A,HCI 585X,Developmental Robotics,3,Prereq: knowledge of C/C++ programming language.,"An introduction to the emerging interdisciplinary field of Developmental Robotics, which crosses the boundaries between robotics, artificial intelligence, developmental psychology, and philosophy. The main goal of this field is to create autonomous robots that are more intelligent, more adaptable, and more useful than the robots of today, which can only function in very limited domains and situations."
ELECTIVE,ELECTIVE,ELECTIVE,N/A,HCI 603,Advanced Learning Environments Design,3,C I 503,"Exploration of advanced aspects of the instructional design process. Application of analysis, design, development and production, evaluation, implementation, and project management principles. Focus on the production and use of instructional technology with an emphasis on the instructional design consulting process. Theory and research in instructional technology provides the foundation for design decisions."
,,,,,PHENOMENA,,,
